#OTU	dummy
OTU.1038	1
OTU.630	1
OTU.24747	1
OTU.1046	1
OTU.281	1
OTU.665	1
OTU.361	1
OTU.959	1
OTU.2950	1
OTU.3311	1
OTU.356	1
OTU.13102	1
OTU.2133	1
OTU.2151	1
OTU.20969	1
OTU.421	1
OTU.1597	1
OTU.4980	1
OTU.6140	1
OTU.59	1
OTU.16384	1
OTU.27384	1
OTU.1386	1
OTU.984	1
OTU.1371	1
OTU.19004	1
OTU.22756	1
OTU.641	1
OTU.575	1
OTU.1579	1
OTU.321	1
OTU.2144	1
OTU.1027	1
OTU.1539	1
OTU.1581	1
OTU.2524	1
OTU.14020	1
OTU.1112	1
OTU.17872	1
OTU.1338	1
OTU.5433	1
OTU.8771	1
OTU.4942	1
OTU.4557	1
OTU.718	1
OTU.2706	1
OTU.15366	1
OTU.2925	1
OTU.25652	1
OTU.11180	1
OTU.71	1
OTU.145	1
OTU.129	1
OTU.324	1
OTU.1207	1
OTU.975	1
OTU.405	1
OTU.2996	1
OTU.910	1
OTU.21231	1
OTU.1618	1
OTU.21377	1
OTU.827	1
OTU.266	1
OTU.18900	1
OTU.451	1
OTU.1470	1
OTU.812	1
OTU.7088	1
OTU.9458	1
OTU.1554	1
OTU.2743	1
OTU.931	1
OTU.1100	1
OTU.8272	1
OTU.206	1
OTU.7454	1
OTU.1164	1
OTU.4381	1
OTU.4388	1
OTU.849	1
OTU.1396	1
OTU.1835	1
OTU.755	1
OTU.1079	1
OTU.1128	1
OTU.1655	1
OTU.5118	1
OTU.20334	1
OTU.3613	1
OTU.5950	1
OTU.17191	1
OTU.4121	1
OTU.1574	1
OTU.2595	1
OTU.2137	1
OTU.8918	1
OTU.3656	1
OTU.16712	1
OTU.1145	1
OTU.4261	1
OTU.2711	1
OTU.19948	1
OTU.547	1
OTU.23054	1
OTU.1047	1
OTU.510	1
OTU.3068	1
OTU.3274	1
OTU.89	1
OTU.796	1
OTU.1276	1
OTU.5456	1
OTU.1635	1
OTU.1018	1
OTU.6298	1
OTU.3198	1
OTU.26040	1
OTU.12540	1
OTU.586	1
OTU.587	1
OTU.10793	1
OTU.1198	1
OTU.4065	1
OTU.4491	1
OTU.1541	1
OTU.315	1
OTU.189	1
OTU.147	1
OTU.317	1
OTU.27	1
OTU.10773	1
OTU.644	1
OTU.1930	1
OTU.1698	1
OTU.577	1
OTU.85	1
OTU.285	1
OTU.822	1
OTU.1634	1
OTU.432	1
OTU.16471	1
OTU.2744	1
OTU.1281	1
OTU.594	1
OTU.13214	1
OTU.484	1
OTU.1602	1
OTU.817	1
OTU.940	1
OTU.65	1
OTU.169	1
OTU.2860	1
OTU.197	1
OTU.742	1
OTU.554	1
OTU.200	1
OTU.621	1
OTU.1042	1
OTU.6367	1
OTU.17220	1
OTU.131	1
OTU.17164	1
OTU.1379	1
OTU.1231	1
OTU.738	1
OTU.816	1
OTU.1051	1
OTU.2716	1
OTU.3248	1
OTU.244	1
OTU.1546	1
OTU.270	1
OTU.316	1
OTU.427	1
OTU.2411	1
OTU.785	1
OTU.1401	1
OTU.25138	1
OTU.946	1
OTU.2346	1
OTU.1337	1
OTU.3096	1
OTU.571	1
OTU.1467	1
OTU.1049	1
OTU.1700	1
OTU.388	1
OTU.10061	1
OTU.4427	1
OTU.545	1
OTU.2318	1
OTU.15684	1
OTU.1724	1
OTU.3720	1
OTU.3219	1
OTU.1043	1
OTU.374	1
OTU.572	1
OTU.565	1
OTU.2171	1
OTU.180	1
OTU.462	1
OTU.3316	1
OTU.283	1
OTU.1653	1
OTU.7031	1
OTU.1963	1
OTU.2316	1
OTU.1360	1
OTU.2239	1
OTU.24111	1
OTU.700	1
OTU.22590	1
OTU.2280	1
OTU.16171	1
OTU.550	1
OTU.527	1
OTU.678	1
OTU.9028	1
OTU.967	1
OTU.4940	1
OTU.2173	1
OTU.9470	1
OTU.29540	1
OTU.1662	1
OTU.120	1
OTU.91	1
OTU.1165	1
OTU.394	1
OTU.1124	1
OTU.2691	1
OTU.515	1
OTU.6137	1
OTU.132	1
OTU.1058	1
OTU.3233	1
OTU.650	1
OTU.18677	1
OTU.35096	1
OTU.1218	1
OTU.2654	1
OTU.3120	1
OTU.463	1
OTU.643	1
OTU.235	1
OTU.4896	1
OTU.6141	1
OTU.458	1
OTU.734	1
OTU.6977	1
OTU.6219	1
OTU.1003	1
OTU.13473	1
OTU.149	1
OTU.1455	1
OTU.14439	1
OTU.4254	1
OTU.397	1
OTU.6765	1
OTU.707	1
OTU.2152	1
OTU.810	1
OTU.3027	1
OTU.15080	1
OTU.1238	1
OTU.1122	1
OTU.858	1
OTU.4794	1
OTU.30048	1
OTU.29845	1
OTU.2140	1
OTU.2142	1
OTU.13528	1
OTU.17621	1
OTU.16416	1
OTU.4228	1
OTU.3850	1
OTU.639	1
OTU.17314	1
OTU.1575	1
OTU.28176	1
OTU.19491	1
OTU.3697	1
OTU.15208	1
OTU.593	1
OTU.3104	1
OTU.5583	1
OTU.991	1
OTU.970	1
OTU.1011	1
OTU.1630	1
OTU.241	1
OTU.16095	1
OTU.3498	1
OTU.589	1
OTU.26881	1
OTU.5778	1
OTU.25476	1
OTU.139	1
OTU.7034	1
OTU.503	1
OTU.10391	1
OTU.19	1
OTU.179	1
OTU.12910	1
OTU.6209	1
OTU.512	1
OTU.27382	1
OTU.440	1
OTU.618	1
OTU.420	1
OTU.552	1
OTU.1063	1
OTU.272	1
OTU.318	1
OTU.1969	1
OTU.740	1
OTU.17081	1
OTU.1023	1
OTU.170	1
OTU.906	1
OTU.937	1
OTU.1673	1
OTU.687	1
OTU.2136	1
OTU.12711	1
OTU.2544	1
OTU.6737	1
OTU.5288	1
OTU.12273	1
OTU.4477	1
OTU.291	1
OTU.25783	1
OTU.10938	1
OTU.671	1
OTU.407	1
OTU.768	1
OTU.2632	1
OTU.1718	1
OTU.14417	1
OTU.2576	1
OTU.1082	1
OTU.13052	1
OTU.3270	1
OTU.93	1
OTU.487	1
OTU.45	1
OTU.1251	1
OTU.2537	1
OTU.1185	1
OTU.1459	1
OTU.4516	1
OTU.3943	1
OTU.4638	1
OTU.2582	1
OTU.18806	1
OTU.24329	1
OTU.1896	1
OTU.3580	1
OTU.3069	1
OTU.1705	1
OTU.16110	1
OTU.915	1
OTU.2396	1
OTU.6791	1
OTU.21429	1
OTU.17350	1
OTU.1451	1
OTU.21757	1
OTU.11156	1
OTU.19756	1
OTU.1397	1
OTU.127	1
OTU.292	1
OTU.1255	1
OTU.227	1
OTU.6207	1
OTU.1245	1
OTU.1778	1
OTU.2419	1
OTU.617	1
OTU.1283	1
OTU.6127	1
OTU.8626	1
OTU.759	1
OTU.19606	1
OTU.332	1
OTU.171	1
OTU.469	1
OTU.7163	1
OTU.3295	1
OTU.26956	1
OTU.6438	1
OTU.2177	1
OTU.3510	1
OTU.12159	1
OTU.10605	1
OTU.8951	1
OTU.12891	1
OTU.2049	1
OTU.8921	1
OTU.1160	1
OTU.13471	1
OTU.27198	1
OTU.685	1
OTU.1015	1
OTU.697	1
OTU.670	1
OTU.9983	1
OTU.1420	1
OTU.1715	1
OTU.1287	1
OTU.2792	1
OTU.2435	1
OTU.2005	1
OTU.3353	1
OTU.28393	1
OTU.20283	1
OTU.5692	1
OTU.4182	1
OTU.3406	1
OTU.1282	1
OTU.4886	1
OTU.1054	1
OTU.1540	1
OTU.287	1
OTU.8974	1
OTU.1677	1
OTU.8913	1
OTU.15416	1
OTU.962	1
OTU.25439	1
OTU.12106	1
OTU.938	1
OTU.30122	1
OTU.2011	1
OTU.23905	1
OTU.21126	1
OTU.18883	1
OTU.8155	1
OTU.16088	1
OTU.21710	1
OTU.1657	1
OTU.4803	1
OTU.1259	1
OTU.20349	1
OTU.6	1
OTU.78	1
OTU.207	1
OTU.175	1
OTU.51	1
OTU.4420	1
OTU.2225	1
OTU.20910	1
OTU.7558	1
OTU.136	1
OTU.112	1
OTU.393	1
OTU.308	1
OTU.576	1
OTU.562	1
OTU.640	1
OTU.10486	1
OTU.5085	1
OTU.1353	1
OTU.1794	1
OTU.105	1
OTU.3303	1
OTU.8624	1
OTU.232	1
OTU.680	1
OTU.220	1
OTU.3883	1
OTU.6224	1
OTU.16151	1
OTU.383	1
OTU.1221	1
OTU.3803	1
OTU.620	1
OTU.108	1
OTU.82	1
OTU.1647	1
OTU.17485	1
OTU.3230	1
OTU.6396	1
OTU.233	1
OTU.2959	1
OTU.782	1
OTU.19382	1
OTU.293	1
OTU.20880	1
OTU.26206	1
OTU.3855	1
OTU.5774	1
OTU.3992	1
OTU.924	1
OTU.25757	1
OTU.17389	1
OTU.3654	1
OTU.9753	1
OTU.5856	1
OTU.22007	1
OTU.20097	1
OTU.25161	1
OTU.6766	1
OTU.18266	1
OTU.122	1
OTU.16969	1
OTU.1796	1
OTU.551	1
OTU.441	1
OTU.6490	1
OTU.23796	1
OTU.1454	1
OTU.16138	1
OTU.11000	1
OTU.1113	1
OTU.4993	1
OTU.23275	1
OTU.27111	1
OTU.14925	1
OTU.867	1
OTU.23196	1
OTU.13174	1
OTU.25146	1
OTU.2745	1
OTU.23979	1
OTU.18014	1
OTU.1720	1
OTU.2515	1
OTU.4556	1
OTU.1960	1
OTU.2234	1
OTU.2209	1
OTU.1132	1
OTU.5200	1
OTU.26854	1
OTU.26682	1
OTU.237	1
OTU.1416	1
OTU.2551	1
OTU.3657	1
OTU.1405	1
OTU.990	1
OTU.3669	1
OTU.723	1
OTU.602	1
OTU.1311	1
OTU.6948	1
OTU.11838	1
OTU.16605	1
OTU.3243	1
OTU.916	1
OTU.23656	1
OTU.5128	1
OTU.16116	1
OTU.26740	1
OTU.27231	1
OTU.7273	1
OTU.5475	1
OTU.27422	1
OTU.2752	1
OTU.211	1
OTU.172	1
OTU.5356	1
OTU.4054	1
OTU.17805	1
OTU.3622	1
OTU.26188	1
OTU.13255	1
OTU.1740	1
OTU.14007	1
OTU.2517	1
OTU.8218	1
OTU.1117	1
OTU.4723	1
OTU.10312	1
OTU.684	1
OTU.215	1
OTU.1040	1
OTU.719	1
OTU.1070	1
OTU.1061	1
OTU.14162	1
OTU.455	1
OTU.1029	1
OTU.2230	1
OTU.1956	1
OTU.2644	1
OTU.491	1
OTU.4071	1
OTU.1442	1
OTU.1643	1
OTU.13460	1
OTU.9728	1
OTU.1385	1
OTU.2288	1
OTU.1321	1
OTU.15289	1
OTU.996	1
OTU.1594	1
OTU.464	1
OTU.1797	1
OTU.1065	1
OTU.26373	1
OTU.11804	1
OTU.16941	1
OTU.1314	1
OTU.22481	1
OTU.8958	1
OTU.17601	1
OTU.10432	1
OTU.1974	1
OTU.2282	1
OTU.3052	1
OTU.4808	1
OTU.1382	1
OTU.2475	1
OTU.311	1
OTU.733	1
OTU.72	1
OTU.696	1
OTU.13083	1
OTU.4352	1
OTU.26612	1
OTU.9193	1
OTU.524	1
OTU.17628	1
OTU.12348	1
OTU.1278	1
OTU.17322	1
OTU.24779	1
OTU.18064	1
OTU.2488	1
OTU.6713	1
OTU.5363	1
OTU.27248	1
OTU.853	1
OTU.3711	1
02a34f8f81deb808f3f5f950117d5fd9	1
07b449bffa2634c2f737c8c1f58bd55b	1
0987840c438895d70c2cd362f64d9cc3	1
0c23b15c76a4aff212ee5f29f91b22f7	1
0f15e07470b1562008ce3f3c307371f4	1
10fc0bf26782d1f294fb01d6e1f54cc0	1
1b486d499bd566354698051626670a55	1
22b704457ce0e64553584f9a38b5fc0e	1
22c0acf3ad0280103e15054b61e0d589	1
2352e0d5ea51cba684872b913d2f593b	1
245457ed82b3b4c3779ef68f5cdbbf1e	1
27467743f197d4f8857f467286ab284b	1
27b5e7aeeff39542b8f6ee7139255093	1
2909488ad0c3c3455f26e83c7b815373	1
36109a41d42b558b35fe9a1ac86e3a84	1
3a18e8cdde67d43f879e5afb5669748d	1
3a1ee3747f1ac5218fab11dae755a8cb	1
3d143ef029bbc5a3fa2196640f634386	1
